url,review
https://sidequestvr.com/app/38028/metal-hellsinger-vr,Metal: Hellsinger VR
https://sidequestvr.com/app/38028/metal-hellsinger-vr,"Rating : 3.5
star"
https://sidequestvr.com/app/38028/metal-hellsinger-vr,"Welcome everyone to my Metal: Hellsinger review! I hope that you're here for the badass music, because we'll have plenty here! I've been eyeing this game since the first official trailer back at the IGN Game Showcase of 2020. And let me tell you, watching a trailer like this for the first time was quite amazing. We've never seen so many gathered legends making a soundtrack like this for a video game. The flatscreen version was well received, but did the developers do a good job at translating this game to VR? This is always a hit or miss, so lets find out together!

Metal: Hellsinger was released on September 26th, 2024 on Meta Quest and is compatible with the Quest 2, Pro, 3 and 3S and the developers of this version of the game are Lab42 and The Outsiders.

Gameplay

The best way to describe this game is as if Doom 2016 and Rockband would've been put in a blender, and spit out a game. You get the aesthetics and gameplay of Doom, but the interesting thing is that every shot you take have to follow the beat of the song that's playing in the level. When you need to reload your weapon, you also need to do a gesture to the beat for a quick reload. And you also have a special for each weapon that you can activate when your meter is full.

As you manage to follow the beat, your damage will increase, and you get a multiplier that goes up to 16 times your score. When you reach that score streak, vocals will kick in the song, and let me tell you, when that happens, it's sooo satisfying! You really try to keep that streak because it's just so much better with the lyrics, but they make you work really hard for those vocals.

The game is divided into levels, and at the end of each level, you will encounter a boss that you have to defeat. This part can be a little disappointing since every single boss except the last one is kind of the same enemy, but with different patterns. So it doesn't feel too exciting just defeating him over and over.

Story / Graphics

You know, when you port a flatscreen game to VR, I bet that it's kind of hard to figure out how to deliver cutscenes in an interesting way, and I find that they did a pretty decent job here. The animated cutscenes are delivered through your cave hub and you can just watch them through the usual portal that you go through. And then the 3D cutscenes are delivered in 3rd person while you watch the protagonist entering the domain. I enjoyed that and did not affect my immersion.

The story is about a demon called The Unknown who got her voice stollen by the judge. They then sealed her somewhere with no way to escape, until one day she did, with her only mission being to recover her voice as the hellsinger. Very single, but it works! You're not here to listen to a full fledge story after all, you're here to kick ass and kill demons, so it doesn't get in the way.

The graphics are kind of hit or mis. The color pallets works very well in the headset, but because the game is compatible with the Quest 2, I feel like the Quest 3 is taking a hit. This is not something that you can see here, but the resolution is also not the best. I'm not saying that it's bad. It's amazing what they were able to port here, but I just know that the Quest 3 can do better and I personally can't wait when developers decide to prioritize the Quest 3. This game would've looked amazing.

Music

Ok guys so we all know what REALLY attracted us to this game in the first place. It's the the amount of legends that they've gathered to make this crazy soundtrack! The music is a collection of heavy metal artists, and I might massacre some of the names, but we get Mikael Stanne from Dark Tranquility, Matt Heafy from Trivium, Randy Blythe from Lamb of God, Serj Tankian from System of a Down, and many more! Getting a full collection of songs from these artists is just insane. I'm going to tell you something, nobody in their right mind would critique the soundtrack of this game unless you don't like heavy metal, because I have to say that it's one of the best original video game composition of heavy metal songs. Music is one of the biggest aspect of what makes a game fun for me personally, so this cranked my enjoyment to overdrive.

Difficulties / Other Features

There are 4 difficulties in the game: Lamb, Goat, Beast and Archdevil. I went with beast mode since Archdevil is locked up until you beat the game once. The balance of beast was great. I didn't die too much, but that's good, because when you die in this mode, you actually have to completely redo the level. So let me tell you that I was really trying hard not to die haha. The difficulties affect your health, the enemies health, and how much off beat you can be to have the perfect score. Sadly, I couldn't defeat the last boss on that difficulty and for the sake of not taking too much time to make the review, I had to tone it down one level, but I know that I could complete it with more time.

What's cool after you unlock Archdevil difficulty and try it, the enemy placement is different. You'll actually have an assortment of enemies from the last level inside the first level, and they even introduce new enemies! So they did a really good job with that difficulty, and makes the game worth replaying a few times. It took me around 4 and a half hours to complete, but I could see people take less time than that. I just took the time to enjoy every single minute of it.

Every level also has 3 challenges that you can complete to obtain sigils. You are allowed to equip 2 sigils at a time, and these gives you a nice type of buff that give you some advantage. Like your scorestreak not getting affected when you get hit once, and things like that. These sigils are almost needed to complete the Archdevil difficulty, which makes sense to why it's only unlocked after you finish the game. I'd probably go ahead and get all of the sigils before even trying to complete it that way.

Bugs

So sadly, there are some annoyance and frustrations in the game. The first thing is that the sword reeeeally sucks. No matter how much I tried to swing it to the beat, it never really works. I'm not sure why, but it just never works well, it's like it never hit the enemy right on the beat, when I'm sure that it does.

The second thing is that I've encountered a few glitched areas where it's just missing some or all of the assets. This one time I just needed to wait for all enemies to fall to their death and then move on to the next level.

The last thing, and oh my gosh this one is annoying. Sometimes you press the finishing move to gain some health, but it just doesn't trigger. I mean, look at this part where you see my sword switching for the finishing move, and it does nothing. Man this part really frustrated me since I was at the boss, and died because of it. This may only be an issue in Archdevil mode since I didn't notice it happening before, but this is the hardest difficulty, this is where you'd want it to work.

Alright guys, even though there were some frustrations, I can forgive them because otherwise I had an amazing time with the game, and it wouldn't surprise me if I'd jump back to it at some point to play some more. The nice thing is that these issues are fixable, so I'm hoping the that the devs are actively looking into these issues to make the game perfect. Don't let these discourage you, this game is super fun and I recommend it if you want a fun heavy metal adventure in VR."
https://sidequestvr.com/app/38028/metal-hellsinger-vr,This game is a mixture of Doom and Beat Saber mashed into a rogue like shooter. It really does take some time to get used to the combat in this game as it really wants you to deal damage to the heavy metal beats that are playing in the background. The environments are beautiful although i will say it takes a big hit graphically compared to the PCVR version. Voice acting is perfect and the music really make this game heavy metal themed to its core. The combat however really seems to take a bit to get used to and really feels like its just something thrown in there for fun. I really think this game would be alot better without the added rhythm to it being so involved as it made me feel bound from dealing as much damage as i want and instead having to worry about hitting musical notes. Its not a terrible game but it does not play how one would think from the trailers.
https://sidequestvr.com/app/37906/phantom-park,Phantom Park
https://sidequestvr.com/app/37906/phantom-park,"Rating : 5
star"
https://sidequestvr.com/app/37906/phantom-park,"I actually managed to playtest this game before it popped onto sidequest. My thought: AMAZING GAME!!! 
Super fun! If you love gorilla tag mixed with horror and laughs, this is so the game for you! Whatcha waitin for? Go play now!"
https://sidequestvr.com/app/37906/phantom-park,"I had the pleasure of testing this game before release, is the Alpha Gtag experience. They better watch out!"
https://sidequestvr.com/app/37906/phantom-park,Sigma Game 10 Eggs out of 10
https://sidequestvr.com/app/27309/of-lies-and-rain,Of Lies and Rain
